F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,TARGET
0.347826087,0.043478261,0.043478261,0.304347826,0.086956522,0.130434783,0.565217391,0.086956522,0.130434783,0.391304348,0.086956522,0.130434783,0.52173913,0.043478261,0.043478261,0.434782609,0.086956522,0,0.043478261,0.434782609,0.130434783,0,0.391304348,0.086956522,0.086956522,0.130434783,0.347826087,0,0.391304348,0.086956522,0.304347826,0.043478261,0.086956522,0.130434783,0.217391304,0.086956522,0.130434783,0.217391304,0.260869565,131.7378327
0.047619048,0.285714286,0.238095238,0.238095238,0.19047619,0.238095238,0.142857143,0.285714286,0.142857143,0.238095238,0.380952381,0.142857143,0.238095238,0.285714286,0.047619048,0.095238095,0.333333333,0.19047619,0.142857143,0.285714286,0.238095238,0.142857143,0.238095238,0.238095238,0.238095238,0.285714286,0.047619048,0.142857143,0.142857143,0.333333333,0.333333333,0.047619048,0.095238095,0.428571429,0.095238095,0.095238095,0.285714286,0.238095238,0.047619048,101.4231987
0.105263158,0.105263158,0.421052632,0.105263158,0.105263158,0.263157895,0.263157895,0.263157895,0.105263158,0.105263158,0.210526316,0.315789474,0.315789474,0.105263158,0.210526316,0.157894737,0.157894737,0.368421053,0.052631579,0.157894737,0.263157895,0.315789474,0.263157895,0.105263158,0.421052632,0.105263158,0.105263158,0.368421053,0.157894737,0.210526316,0.210526316,0,0,0.368421053,0.157894737,0.052631579,0.105263158,0.210526316,0.105263158,60.61486756
0.166666667,0.083333333,0.291666667,0.208333333,0.083333333,0.208333333,0.333333333,0.125,0.083333333,0.166666667,0.125,0.25,0.416666667,0.083333333,0.083333333,0.125,0.125,0.25,0,0.333333333,0.166666667,0.166666667,0.166666667,0.125,0.25,0.125,0.125,0.25,0.166666667,0.125,0.208333333,0,0.041666667,0.083333333,0.125,0.166666667,0.208333333,0.125,0.041666667,64.05275405
0.172413793,0.275862069,0.24137931,0.172413793,0.103448276,0.275862069,0.310344828,0.172413793,0.206896552,0.137931034,0.379310345,0.137931034,0.310344828,0.275862069,0.034482759,0.103448276,0.344827586,0.172413793,0.068965517,0.448275862,0.137931034,0.206896552,0.206896552,0.206896552,0.24137931,0.275862069,0.172413793,0.172413793,0.103448276,0.310344828,0.413793103,0.034482759,0.034482759,0.206896552,0.103448276,0.24137931,0.344827586,0.172413793,0.103448276,3.298026458
0.15,0.3,0.15,0.1,0,0.55,0.4,0.2,0.2,0,0,0.55,0.35,0.1,0.05,0.2,0.35,0.15,0.05,0.4,0.05,0.1,0.3,0.3,0.15,0.4,0.05,0.05,0.15,0.45,0.45,0,0,0.6,0.05,0.05,0.35,0.2,0.1,4.000079208
0.269230769,0.153846154,0.230769231,0.115384615,0.230769231,0.230769231,0.076923077,0.346153846,0.115384615,0.192307692,0.230769231,0.153846154,0.269230769,0.115384615,0.038461538,0.192307692,0.153846154,0.230769231,0.115384615,0.307692308,0.076923077,0.269230769,0.230769231,0.038461538,0.230769231,0.153846154,0.269230769,0.230769231,0.192307692,0.076923077,0.192307692,0,0.153846154,0.115384615,0.153846154,0.115384615,0.307692308,0.115384615,0.115384615,12.51918513
0.173913043,0.260869565,0.347826087,0.347826087,0.217391304,0.173913043,0.47826087,0.260869565,0.130434783,0.130434783,0.304347826,0.304347826,0.347826087,0.173913043,0.043478261,0.173913043,0.260869565,0.347826087,0.086956522,0.347826087,0.173913043,0.434782609,0.260869565,0.130434783,0.347826087,0.260869565,0.173913043,0.434782609,0.217391304,0.173913043,0.347826087,0.043478261,0.086956522,0.260869565,0.347826087,0.130434783,0.391304348,0.043478261,0.043478261,200.4233852
0.304347826,0.217391304,0.260869565,0.391304348,0.043478261,0.173913043,0.565217391,0.086956522,0.130434783,0.304347826,0.304347826,0.173913043,0.434782609,0.086956522,0.043478261,0.304347826,0.217391304,0.260869565,0.043478261,0.391304348,0.130434783,0.391304348,0.173913043,0.260869565,0.260869565,0.217391304,0.304347826,0.391304348,0.173913043,0.260869565,0.434782609,0,0,0.304347826,0.260869565,0.086956522,0.391304348,0.130434783,0.130434783,6.264760867
0.315789474,0.210526316,0.210526316,0.421052632,0,0.157894737,0.578947368,0.052631579,0.105263158,0.368421053,0.263157895,0.157894737,0.526315789,0,0.052631579,0.315789474,0.210526316,0.210526316,0.052631579,0.368421053,0.157894737,0.368421053,0.157894737,0.263157895,0.210526316,0.210526316,0.315789474,0.368421053,0.157894737,0.263157895,0.421052632,0,0,0.263157895,0.263157895,0.052631579,0.421052632,0.105263158,0.105263158,50.11656435
0.3,0.2,0.25,0.4,0,0.15,0.6,0.05,0.1,0.35,0.25,0.2,0.5,0,0.05,0.3,0.2,0.25,0.05,0.35,0.15,0.4,0.15,0.25,0.25,0.2,0.3,0.4,0.15,0.25,0.4,0,0,0.3,0.25,0.05,0.4,0.1,0.1,12.528 22256
0.294117647,0.235294118,0.235294118,0.352941176,0,0.117647059,0.647058824,0,0.117647059,0.352941176,0.294117647,0.176470588,0.529411765,0,0,0.294117647,0.235294118,0.235294118,0.058823529,0.352941176,0.176470588,0.411764706,0.117647059,0.294117647,0.235294118,0.235294118,0.294117647,0.411764706,0.117647059,0.294117647,0.411764706,0,0,0.294117647,0.176470588,0.058823529,0.470588235,0.058823529,0.058823529,50.12836709
0.15,0.25,0.3,0.1,0.2,0.35,0.15,0.4,0.15,0.15,0.25,0.3,0.35,0.15,0.05,0.2,0.3,0.25,0.05,0.25,0.25,0.25,0.2,0.2,0.3,0.25,0.15,0.25,0.2,0.2,0.3,0,0,0.2,0.2,0.1,0.4,0.1,0,3.665077117
0.285714286,0.238095238,0.238095238,0.142857143,0.19047619,0.285714286,0.19047619,0.380952381,0,0.047619048,0.19047619,0.380952381,0.238095238,0.238095238,0.142857143,0.285714286,0.142857143,0.238095238,0.142857143,0.285714286,0.19047619,0.19047619,0.238095238,0.19047619,0.238095238,0.333333333,0.19047619,0.19047619,0.238095238,0.19047619,0.428571429,0,0,0.285714286,0.238095238,0.142857143,0.238095238,0.142857143,0.285714286,1.100432209
0,0.4,0,0,0,0.6,0.3,0.3,0.3,0.3,0.1,0.3,0.4,0,0.2,0,0.4,0,0,0.4,0,0.2,0,0.4,0,0.4,0,0,0,0.4,0.4,0,0,0.2,0,0,0.4,0,0,22.8271 2291
